site	test	class	action	evidence
crates/boyko_app/tests/hzb_engine_pyramid_gate.rs:1214	hzb_engine_pyramid_equals_the_oracle_occ	gpu-windowed	insert	driver: re-execs this binary (Command::new :740) to run the windowed dump workers
crates/boyko_app/tests/hzb_engine_pyramid_gate.rs:1255	hzb_engine_pyramid_equals_the_oracle_force_late	gpu-windowed	insert	driver: re-execs this binary (Command::new :740) to run the windowed dump workers
crates/boyko_app/tests/hzb_verdict_oracle_gate.rs:1509	cull_shader_verdict_eq_oracle_on_the_pinned_extents	gpu	insert	body calls boot_or_skip (:570) = VulkanContext::boot, validation off, no window: a headless compute dispatch
crates/boyko_app/tests/hzb_verdict_oracle_gate.rs:1590	cull_shader_verdict_eq_oracle_over_the_random_corpus	gpu	insert	body calls boot_or_skip (:570) = VulkanContext::boot, validation off, no window: a headless compute dispatch
crates/boyko_app/tests/hzb_verdict_oracle_gate.rs:1721	cull_shader_verdict_eq_oracle_at_the_strict_boundary	gpu	insert	body calls boot_or_skip (:570) = VulkanContext::boot, validation off, no window: a headless compute dispatch
crates/boyko_app/tests/hzb_verdict_oracle_gate.rs:2081	the_unknown_bounds_sentinel_is_drawn_early_under_every_affine	gpu	insert	body calls boot_or_skip (:570) = VulkanContext::boot, validation off, no window: a headless compute dispatch
crates/boyko_app/tests/interp_smoke.rs:110	interp_smoke_pair_path_is_live_over_the_host	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/particle_counters_readback.rs:71	particle_counters_partition_readback	gpu-windowed	insert	body calls particle_scene::build_app, which adds EnginePlugins::window (particle_scene/mod.rs:813)
crates/boyko_app/tests/particle_lab.rs:96	particle_lab_screenshot_dump	gpu-windowed	insert	body calls particle_scene::build_app, which adds EnginePlugins::window (particle_scene/mod.rs:813)
crates/boyko_app/tests/pbr_material_showcase.rs:300	pbr_material_showcase_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/pbr_showcase.rs:180	pbr_showcase_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/room_smoke.rs:149	room_smoke_ten_frames_then_clean_teardown	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/room_smoke_catch_all_fit.rs:111	room_smoke_catch_all_fit_folds_complete_caster_bounds	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/sdf_forward_only.rs:94	sdf_forward_only_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/sdf_marcher_sun.rs:421	marcher_sun_worker	gpu-windowed	keep	re-verified: worker; body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/sdf_marcher_sun.rs:857	marcher_shadow_follows_the_table_sun_after_runtime_rotation	gpu-windowed	keep	re-verified: driver; spawns marcher_sun_worker processes
crates/boyko_app/tests/sdf_marcher_sun.rs:929	sunless_scene_has_no_phantom_marcher_shadow	gpu-windowed	keep	re-verified: driver; spawns marcher_sun_worker processes
crates/boyko_app/tests/sdf_room_ddgi_dump.rs:253	sdf_room_ddgi_screenshot_dump	gpu-windowed	keep	re-verified: body adds `EnginePlugins::window(..)` and runs the windowed runner; DDGI is software probes, no RT capability
crates/boyko_app/tests/sdf_room_smoke.rs:99	sdf_room_smoke_ten_frames_then_clean_teardown	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/sv0_adequacy.rs:642	sv0_edit_staging_stays_clean_under_the_real_runner	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/taa_jitter_eval.rs:444	taa_jitter_eval_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/taa_jitter_eval.rs:840	hwrt_shadow_origin_phase7	feature+gpu-windowed+gpu-cap	replace	fn is #[cfg(feature = "hwrt")] (:838/:898/:945); spawns windowed taa_jitter_eval_screenshot_dump workers on a real RT device (its own prose); was `gpu-windowed:`, which omitted the feature
crates/boyko_app/tests/taa_jitter_eval.rs:900	hwrt_shadow_origin_all_phases	feature+gpu-windowed+gpu-cap	replace	fn is #[cfg(feature = "hwrt")] (:838/:898/:945); spawns windowed taa_jitter_eval_screenshot_dump workers on a real RT device (its own prose); was `gpu-windowed:`, which omitted the feature
crates/boyko_app/tests/taa_jitter_eval.rs:947	hwrt_shadow_origin_consecutive_frames	feature+gpu-windowed+gpu-cap	replace	fn is #[cfg(feature = "hwrt")] (:838/:898/:945); spawns windowed taa_jitter_eval_screenshot_dump workers on a real RT device (its own prose); was `gpu-windowed:`, which omitted the feature
crates/boyko_app/tests/texture_retire_lifecycle.rs:260	texture_bindless_slot_retires_fence_gated_not_before_its_horizon	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner; compiled without any feature - the prose's --features hwrt run is an optional second pass
crates/boyko_app/tests/textured_smoke.rs:216	textured_smoke_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/unwritten_shadow_map_gate.rs:362	shadow_poison_worker	gpu-windowed	keep	re-verified: worker; body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/unwritten_shadow_map_gate.rs:723	mesh_less_legs_never_sample_an_unwritten_shadow_map	gpu-windowed	keep	re-verified: driver; spawns shadow_poison_worker processes
crates/boyko_app/tests/unwritten_shadow_map_gate.rs:812	mesh_legs_write_their_shadow_maps_before_sampling	gpu-windowed	keep	re-verified: driver; spawns shadow_poison_worker processes
crates/boyko_app/tests/unwritten_shadow_map_gate.rs:917	unslotted_punctual_lights_never_sample_the_atlas	gpu-windowed	keep	re-verified: driver; spawns shadow_poison_worker processes
crates/boyko_app/tests/vb_bench_query_validation.rs:316	vb_bench_query_validation_bench_worker	gpu-windowed	insert	worker: skip_unless_driven, then boot() = EnginePlugins::window (:275)
crates/boyko_app/tests/vb_bench_query_validation.rs:327	vb_bench_query_validation_control_worker	gpu-windowed	insert	worker: skip_unless_driven, then boot() = EnginePlugins::window (:275)
crates/boyko_app/tests/vb_bench_query_validation.rs:541	the_bench_armed_query_commands_add_no_validation_message	gpu-windowed	insert	driver: spawn_worker re-execs this binary (Command::new :361) for two windowed workers
crates/boyko_app/tests/vb_both.rs:151	vb_both_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/vb_both.rs:173	vb_both_ddgi_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/vb_both_sdf.rs:83	vb_both_sdf_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/vb_both_sdf_tex.rs:132	vb_both_sdf_tex_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/vb_both_ssao.rs:103	vb_both_ssao_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/vb_cull_hzb_pairing.rs:112	vb_cull_hzb_pairing_worker	gpu-windowed	insert	worker: body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/vb_cull_hzb_pairing.rs:149	both_captures_are_produced_by_one_process	gpu-windowed	insert	driver: re-execs this binary (Command::new) for one windowed worker
crates/boyko_app/tests/vb_cull_offscreen.rs:191	vb_cull_rejects_the_offscreen_batch	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/vb_geometry_slot_fill_reject.rs:213	a_fill_rejected_mesh_upload_releases_its_vb_geometry_table_slot	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/vb_geometry_slot_retire_churn.rs:199	a_retired_mesh_releases_its_vb_geometry_table_slot	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/vb_inst_cull_corpus.rs:247	vb_inst_cull_corpus_worker	gpu-windowed	insert	worker: body adds `EnginePlugins::window(..)` and runs the windowed runner; also needs the fetched corpus payload (prose)
crates/boyko_app/tests/vb_inst_cull_corpus.rs:287	vb_inst_cull_corpus_gate	gpu-windowed	insert	driver: run_cull_probe_worker per committed camera path (windowed worker); payload_present guard
crates/boyko_app/tests/vb_inst_cull_ids.rs:82	vb_inst_cull_ids_are_the_global_ring_indices	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/vb_inst_cull_narrow.rs:84	vb_inst_cull_narrow_drops_the_offscreen_instance	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/vb_inst_cull_wide.rs:46	vb_inst_cull_wide_keeps_every_instance	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/vb_mesh.rs:271	vb_mesh_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/vb_mesh.rs:538	vb_mesh_occ_pins_actually_split	gpu-windowed	insert	driver: run_pin re-execs this binary (Command::new :489) for five windowed workers
crates/boyko_app/tests/vb_mesh_froxel.rs:307	vb_mesh_froxel_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/vb_mesh_ssao.rs:180	vb_mesh_ssao_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/vb_mesh_tex.rs:245	vb_mesh_tex_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/vb_mesh_tex.rs:284	vb_mesh_tex_aa_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/vb_mesh_tex_froxel.rs:326	vb_mesh_tex_froxel_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/vb_occ_mixed.rs:167	vb_occ_mixed_capture_worker	gpu-windowed	insert	worker: body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/vb_occ_mixed.rs:850	vb_occ_mixed_partition_matches_the_oracle	gpu-windowed	insert	driver: run_capture re-execs this binary (Command::new :371) for a windowed worker
crates/boyko_app/tests/vb_occ_mixed.rs:879	vb_occ_mixed_force_late_rasterises	gpu-windowed	insert	driver: run_capture re-execs this binary (Command::new :371) for a windowed worker
crates/boyko_app/tests/vb_occ_split_gate.rs:387	vb_occ_probe_dump_marked	gpu-windowed	insert	worker: probe_path_or_skip (env-driven) then body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/vb_occ_split_gate.rs:410	vb_occ_probe_dump_unmarked	gpu-windowed	insert	worker: probe_path_or_skip (env-driven) then body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/vb_occ_split_gate.rs:426	vb_occ_probe_dump_multi	gpu-windowed	insert	worker: probe_path_or_skip (env-driven) then body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/vb_occ_split_gate.rs:459	vb_occ_probe_dump_marked_no_hzb	gpu-windowed	insert	worker: probe_path_or_skip (env-driven) then body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/vb_occ_split_gate.rs:604	vb_occ_split_records_two_scopes	gpu-windowed	insert	driver: run_worker re-execs this binary (Command::new :546) for three windowed workers
crates/boyko_app/tests/vb_p1d_cull_shade_bench.rs:581	vb_p1d_cull_shade_bench	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/vb_sdf_only.rs:91	vb_sdf_only_screenshot_dump	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner and dumps/measures a frame; the device run is its leg (a boot or render panic fails it)
crates/boyko_app/tests/vb_sv0_produce_run_timing.rs:414	vb_sv0_produce_run_worker	gpu-windowed	insert	worker: body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/vb_sv0_produce_run_timing.rs:547	dp6_0b_fused_leg_matches_its_expectation_table	gpu-windowed	insert	driver: run_worker re-execs this binary (Command::new :480) for the windowed worker
crates/boyko_app/tests/vb_sv0_produce_run_timing.rs:596	dp6_0b_split_leg_matches_its_expectation_table	gpu-windowed	insert	driver: run_worker re-execs this binary (Command::new :480) for the windowed worker
crates/boyko_app/tests/vb_teardown_destroys_boot_resources.rs:40	a_visibility_buffer_teardown_destroys_its_geometry_table_and_persistent_descriptor_pools	gpu-windowed	keep	re-verified: teardown_probe windowed boot (H7)
crates/boyko_app/tests/vg_decidability_floor.rs:325	vg_decidability_floor_measure	gpu-windowed	insert	driver: bench_binary spawns N windowed bench processes per configuration (Command::new :267)
crates/boyko_app/tests/vg_density_census.rs:200	vg_census_rung_dump	gpu-windowed	insert	worker: body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/vg_density_census.rs:510	vg_density_census_gate	gpu-windowed	insert	driver: one windowed worker process per ladder rung (shared worker helper)
crates/boyko_app/tests/vg_occ_split_timing.rs:620	vg_occ_split_timing_worker	gpu-windowed	insert	worker: body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_app/tests/vg_occ_split_timing.rs:1152	vg_occ_split_timing_mixed	gpu-windowed	insert	driver: run_protocol / run_dense_capture re-exec this binary (Command::new :1037) for windowed workers
crates/boyko_app/tests/vg_occ_split_timing.rs:1159	vg_occ_split_timing_dense	gpu-windowed	insert	driver: run_protocol / run_dense_capture re-exec this binary (Command::new :1037) for windowed workers
crates/boyko_app/tests/vg_occ_split_timing.rs:2244	vb_occ_dense_defers_what_the_host_oracle_rejects	gpu-windowed	insert	driver: run_protocol / run_dense_capture re-exec this binary (Command::new :1037) for windowed workers
crates/boyko_app/tests/vg_r0d_census.rs:156	vg_r0d_rung_dump	gpu-windowed	insert	worker: body adds `EnginePlugins::window(..)` and runs the windowed runner; also needs the fetched corpus payload (prose)
crates/boyko_app/tests/vg_r0d_census.rs:279	vg_r0d_census_gate	gpu-windowed	insert	driver: |paths| x |ladder| windowed worker processes (shared worker helper); payload_present guard
crates/boyko_app/tests/windowed_smoke.rs:37	windowed_smoke_five_frames_then_clean_teardown	gpu-windowed	insert	body adds `EnginePlugins::window(..)` and runs the windowed runner
crates/boyko_ecs/src/ecs/core/entity/inland_store.rs:508	model_equivalence_with_vec_resize_semantics	miri-slow	replace	cfg_attr(miri); proptest 64 cases x 40k-slot comparisons, 'hours under Miri' - finishes given time; was `tractability:` (same meaning)
crates/boyko_ecs/src/ecs/core/time/fixed_loop.rs:245	fixed_advance_invariants	miri-slow	insert	cfg_attr(miri); proptest 64 cases x 39 frames, Miri wall-time; covered under Miri by miri_fixed_loop M-P20-1
crates/boyko_ecs/src/ecs/memory/component_pool.rs:3346	address_stability_across_three_slab_growths	miri-slow	replace	cfg_attr(miri); 1-4k row loops, too slow under Miri; was `tractability:` (same meaning)
crates/boyko_ecs/src/ecs/memory/component_pool.rs:3483	tick_lockstep_and_jxi_zero_at_slab_boundary	miri-slow	replace	cfg_attr(miri); 1-4k row loops, too slow under Miri; was `tractability:` (same meaning)
crates/boyko_ecs/src/ecs/memory/component_pool.rs:3588	drop_count_exact_across_growth_boundary	miri-slow	replace	cfg_attr(miri); 1-4k row loops, too slow under Miri; was `tractability:` (same meaning)
crates/boyko_ecs/tests/a6_schedule_panic_propagation.rs:238	parallel_fixture_returns_when_nothing_panics	miri-slow	keep	re-verified: cfg_attr(miri); 10 s wall-clock watchdog thread; runs natively
crates/boyko_ecs/tests/a6_schedule_panic_propagation.rs:261	par_iter_fixture_returns_when_nothing_panics	miri-slow	keep	re-verified: cfg_attr(miri); 10 s wall-clock watchdog thread; runs natively
crates/boyko_ecs/tests/a6_schedule_panic_propagation.rs:288	parallel_system_panic_resumes_on_schedule_caller	miri-slow	keep	re-verified: cfg_attr(miri); 10 s wall-clock watchdog thread; runs natively
crates/boyko_ecs/tests/a6_schedule_panic_propagation.rs:308	single_worker_system_panic_resumes_on_schedule_caller	miri-slow	keep	re-verified: cfg_attr(miri); 10 s wall-clock watchdog thread; runs natively
crates/boyko_ecs/tests/a6_schedule_panic_propagation.rs:332	exclusive_system_panic_resumes_on_schedule_caller	miri-slow	keep	re-verified: cfg_attr(miri); 10 s wall-clock watchdog thread; runs natively
crates/boyko_ecs/tests/a6_schedule_panic_propagation.rs:355	par_iter_panic_in_system_resumes_on_schedule_caller	miri-slow	keep	re-verified: cfg_attr(miri); 10 s wall-clock watchdog thread; runs natively
crates/boyko_ecs/tests/a6_schedule_panic_propagation.rs:375	par_for_each_chunk_panic_in_system_resumes_on_schedule_caller	miri-slow	keep	re-verified: cfg_attr(miri); 10 s wall-clock watchdog thread; runs natively
crates/boyko_ecs/tests/a6_schedule_panic_propagation.rs:405	par_iter_panic_in_exclusive_system_resumes_on_schedule_caller	miri-slow	keep	re-verified: cfg_attr(miri); 10 s wall-clock watchdog thread; runs natively
crates/boyko_ecs/tests/a6_schedule_panic_propagation.rs:434	app_update_resumes_system_panic_on_caller	miri-slow	keep	re-verified: cfg_attr(miri); 10 s wall-clock watchdog thread; runs natively
crates/boyko_ecs/tests/a6_schedule_panic_propagation.rs:459	schedule_runs_again_after_an_exclusive_panic	miri-slow	keep	re-verified: cfg_attr(miri); 10 s wall-clock watchdog thread; runs natively
crates/boyko_ecs/tests/a6_schedule_panic_propagation.rs:495	schedule_runs_again_after_a_parallel_panic	miri-slow	keep	re-verified: cfg_attr(miri); 10 s wall-clock watchdog thread; runs natively
crates/boyko_ecs/tests/a6_schedule_panic_propagation.rs:584	panic_cancels_the_rest_of_the_schedule	miri-slow	keep	re-verified: cfg_attr(miri); 10 s wall-clock watchdog thread; runs natively
crates/boyko_ecs/tests/a6_schedule_panic_propagation.rs:652	a_panicking_systems_queued_commands_are_not_applied	miri-slow	keep	re-verified: cfg_attr(miri); 10 s wall-clock watchdog thread; runs natively
crates/boyko_ecs/tests/a6_schedule_panic_propagation.rs:726	two_consecutive_panicking_runs_each_resume_on_the_caller	miri-slow	keep	re-verified: cfg_attr(miri); 10 s wall-clock watchdog thread; runs natively
crates/boyko_ecs/tests/a6_schedule_panic_propagation.rs:778	a_command_panic_in_the_apply_window_leaves_the_schedule_reusable	miri-slow	keep	re-verified: cfg_attr(miri); 10 s wall-clock watchdog thread; runs natively
crates/boyko_ecs/tests/a6_schedule_panic_propagation.rs:857	a_sibling_still_running_when_the_cancel_flag_is_set_is_still_accounted	miri-slow	keep	re-verified: cfg_attr(miri); 10 s wall-clock watchdog thread; runs natively
crates/boyko_ecs/tests/a6_schedule_panic_propagation.rs:961	a_cancelled_run_reports_e1502_naming_the_panicking_system	miri-slow	keep	re-verified: cfg_attr(miri); 10 s wall-clock watchdog thread; runs natively
crates/boyko_ecs/tests/ab11_flag_filter_polarity.rs:119	with_over_a_bitset_flag_matches_the_flagged_rows	deferred	keep	re-verified: RED BY DESIGN until owner ballot AB-11 (file header)
crates/boyko_ecs/tests/ab11_flag_filter_polarity.rs:145	without_over_a_bitset_flag_excludes_the_flagged_rows	deferred	keep	re-verified: RED BY DESIGN until owner ballot AB-11 (file header)
crates/boyko_ecs/tests/ab11_flag_filter_polarity.rs:175	or_does_not_introduce_and_cannot_fix_the_flag_polarity	deferred	keep	re-verified: RED BY DESIGN until owner ballot AB-11 (file header)
crates/boyko_ecs/tests/bug_enable_pre_1_or_changed_leak.rs:132	or_changed_with_does_not_leak_unchanged_in_b_lacking_archetype	miri-slow	insert	cfg_attr(miri); runs a schedule on the threadpool, whose busy-wait stalls Miri (wall-time: the executor yields under Miri since Phase 9.3a); same class as ke3's prefixed twins
crates/boyko_ecs/tests/bug_enable_pre_1_or_changed_leak.rs:218	or_changed_without_does_not_leak_in_b_present_archetype	miri-slow	insert	cfg_attr(miri); runs a schedule on the threadpool, whose busy-wait stalls Miri (wall-time: the executor yields under Miri since Phase 9.3a); same class as ke3's prefixed twins
crates/boyko_ecs/tests/bug_enable_pre_1_or_changed_leak.rs:309	or_still_admits_archetypal_arm_rows	miri-slow	insert	cfg_attr(miri); runs a schedule on the threadpool, whose busy-wait stalls Miri (wall-time: the executor yields under Miri since Phase 9.3a); same class as ke3's prefixed twins
crates/boyko_ecs/tests/bug_enable_pre_1_or_changed_leak.rs:372	or_fully_archetypal_unaffected	miri-slow	insert	cfg_attr(miri); runs a schedule on the threadpool, whose busy-wait stalls Miri (wall-time: the executor yields under Miri since Phase 9.3a); same class as ke3's prefixed twins
